file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
HEF/HE.HEF..HHN__20250101T092157Z__20250101T092257Z.mseed,HE,HEF ,0,0,0,0,2025-01-01 09:22:02.640000,0.265,2025-01-01 09:22:11.460000,0.688,2025-01-01 09:21:57,2025-01-01 09:22:57
KLF/FN.KLF..HHN__20250101T092202Z__20250101T092302Z.mseed,FN,KLF ,0,0,0,0,2025-01-01 09:22:08.020000,0.063,2025-01-01 09:22:18.220000,0.318,2025-01-01 09:22:02,2025-01-01 09:23:02
SGF/FN.SGF..HHE__20250101T092212Z__20250101T092312Z.mseed,FN,SGF ,0,0,0,0,2025-01-01 09:22:20,0.093,,,2025-01-01 09:22:12,2025-01-01 09:23:12
SGF/FN.SGF..HHE__20250101T092212Z__20250101T092312Z.mseed,FN,SGF ,0,0,0,0,2025-01-01 09:23:25.080000,0.007,,,2025-01-01 09:22:12,2025-01-01 09:23:12
RNF/FN.RNF..HHE__20250101T092218Z__20250101T092318Z.mseed,FN,RNF ,0,0,0,0,2025-01-01 09:22:24.790000,0.253,,,2025-01-01 09:22:18,2025-01-01 09:23:18
KLF/FN.KLF..HHN__20250102T044208Z__20250102T044308Z.mseed,FN,KLF ,0,0,0,0,2025-01-02 04:42:13.350000,0.965,2025-01-02 04:42:15.950000,0.906,2025-01-02 04:42:08,2025-01-02 04:43:08
RNF/FN.RNF..HHE__20250102T044220Z__20250102T044320Z.mseed,FN,RNF ,0,0,0,0,2025-01-02 04:42:25.750000,0.861,2025-01-02 04:42:37.320000,0.504,2025-01-02 04:42:20,2025-01-02 04:43:20
TOF/HE.TOF..HHN__20250102T044222Z__20250102T044322Z.mseed,HE,TOF ,0,0,0,0,2025-01-02 04:42:29.460000,0.292,2025-01-02 04:42:40.630000,0.076,2025-01-02 04:42:22,2025-01-02 04:43:22
SGF/FN.SGF..HHE__20250102T044222Z__20250102T044322Z.mseed,FN,SGF ,0,0,0,0,2025-01-02 04:42:27.980000,0.515,,,2025-01-02 04:42:22,2025-01-02 04:43:22
HEF/HE.HEF..HHN__20250102T044228Z__20250102T044328Z.mseed,HE,HEF ,0,0,0,0,2025-01-02 04:42:33.760000,0.311,,,2025-01-02 04:42:28,2025-01-02 04:43:28
HEF/HE.HEF..HHN__20250102T044228Z__20250102T044328Z.mseed,HE,HEF ,0,0,0,0,2025-01-02 04:43:40.870000,0.009,,,2025-01-02 04:42:28,2025-01-02 04:43:28
RANF/FN.RANF..HHN__20250102T044230Z__20250102T044330Z.mseed,FN,RANF,0,0,0,0,2025-01-02 04:42:35.900000,0.497,2025-01-02 04:42:56.930000,0.21,2025-01-02 04:42:30,2025-01-02 04:43:30
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:54:59.756000,0.63,2025-01-05 04:55:14.576000,0.241,2025-01-05 04:54:54,2025-01-05 04:55:54
OBF0/HE.OBF0..HHZ__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:55:05.540000,0.908,2025-01-05 04:55:24.800000,0.644,2025-01-05 04:55:00,2025-01-05 04:56:00
OUF/HE.OUF..HHZ__20250105T045503Z__20250105T045603Z.mseed,HE,OUF ,0,0,0,0,2025-01-05 04:55:08.870000,0.81,2025-01-05 04:55:31.160000,0.228,2025-01-05 04:55:03,2025-01-05 04:56:03
VAF/HE.VAF..HHZ__20250105T045503Z__20250105T045603Z.mseed,HE,VAF ,0,0,0,0,2025-01-05 04:55:08.660000,0.793,2025-01-05 04:55:29.620000,0.418,2025-01-05 04:55:03,2025-01-05 04:56:03
OBF3/HE.OBF3..HHN__20250105T045504Z__20250105T045604Z.mseed,HE,OBF3,0,0,0,0,2025-01-05 04:55:09.204000,0.75,2025-01-05 04:55:31.374000,0.339,2025-01-05 04:55:04,2025-01-05 04:56:04
ALAJF/HE.ALAJF..HHE__20250105T045508Z__20250105T045608Z.mseed,HE,ALAJF,0,0,0,0,2025-01-05 04:55:13.300000,0.798,2025-01-05 04:55:38.560000,0.487,2025-01-05 04:55:08,2025-01-05 04:56:08
TOF/HE.TOF..HHN__20250105T045539Z__20250105T045639Z.mseed,HE,TOF ,0,0,0,0,2025-01-05 04:55:43.690000,0.538,2025-01-05 04:55:46.030000,0.42,2025-01-05 04:55:39,2025-01-05 04:56:39
KLF/FN.KLF..HHN__20250105T161945Z__20250105T162045Z.mseed,FN,KLF ,0,0,0,0,2025-01-05 16:19:50.450000,0.707,2025-01-05 16:20:00.200000,0.466,2025-01-05 16:19:45,2025-01-05 16:20:45
HEF/HE.HEF..HHZ__20250105T161947Z__20250105T162047Z.mseed,HE,HEF ,0,0,0,0,2025-01-05 16:19:52.020000,0.832,2025-01-05 16:20:02.650000,0.427,2025-01-05 16:19:47,2025-01-05 16:20:47
HEF/HE.HEF..HHZ__20250105T161947Z__20250105T162047Z.mseed,HE,HEF ,0,0,0,0,2025-01-05 16:20:57.100000,0.024,,,2025-01-05 16:19:47,2025-01-05 16:20:47
RNF/FN.RNF..HHZ__20250105T162002Z__20250105T162102Z.mseed,FN,RNF ,0,0,0,0,2025-01-05 16:20:06.760000,0.267,,,2025-01-05 16:20:02,2025-01-05 16:21:02
RNF/FN.RNF..HHZ__20250105T162002Z__20250105T162102Z.mseed,FN,RNF ,0,0,0,0,2025-01-05 16:21:13.740000,0.02,,,2025-01-05 16:20:02,2025-01-05 16:21:02
SGF/FN.SGF..HHN__20250105T162020Z__20250105T162120Z.mseed,FN,SGF ,0,0,0,0,2025-01-05 16:20:24.140000,0.099,,,2025-01-05 16:20:20,2025-01-05 16:21:20
SGF/FN.SGF..HHN__20250105T162020Z__20250105T162120Z.mseed,FN,SGF ,0,0,0,0,2025-01-05 16:21:29.160000,0.019,,,2025-01-05 16:20:20,2025-01-05 16:21:20
TOF/HE.TOF..HHE__20250105T162027Z__20250105T162127Z.mseed,HE,TOF ,0,0,0,0,2025-01-05 16:20:31.350000,0.252,,,2025-01-05 16:20:27,2025-01-05 16:21:27
