file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KORF/HE.KORF..CHZ__20250102T093411Z__20250102T093511Z.mseed,HE,KORF,0,0,0,0,2025-01-02 09:35:21.232000,0.115,,,2025-01-02 09:34:11.000000,2025-01-02 09:35:11.000000,eqcct_noise_th0_1/20250102T093411Z_20250102T093511Z/KORF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHZ__20250102T100056Z__20250102T100156Z.mseed,FN,RAJF,0,0,0,0,2025-01-02 10:02:07.480000,0.109,,,2025-01-02 10:00:56.000000,2025-01-02 10:01:56.000000,eqcct_noise_th0_1/20250102T100056Z_20250102T100156Z/RAJF_outputs/X_prediction_results.csv
FIC2/HE.FIC2..HHZ__20250102T103627Z__20250102T103727Z.mseed,HE,FIC2,0,0,0,0,2025-01-02 10:36:32.020000,0.111,,,2025-01-02 10:36:27.000000,2025-01-02 10:37:27.000000,eqcct_noise_th0_1/20250102T103627Z_20250102T103727Z/FIC2_outputs/X_prediction_results.csv
KLF/FN.KLF..BHZ__20250102T114251Z__20250102T114351Z.mseed,FN,KLF,0,0,0,0,2025-01-02 11:42:55.260000,0.131,,,2025-01-02 11:42:51.000000,2025-01-02 11:43:51.000000,eqcct_noise_th0_1/20250102T114251Z_20250102T114351Z/KLF_outputs/X_prediction_results.csv
RANF/FN.RANF..HHZ__20250102T122538Z__20250102T122638Z.mseed,FN,RANF,0,0,0,0,2025-01-02 12:26:48.650000,0.147,,,2025-01-02 12:25:38.000000,2025-01-02 12:26:38.000000,eqcct_noise_th0_1/20250102T122538Z_20250102T122638Z/RANF_outputs/X_prediction_results.csv
FIB6/HE.FIB6..HHE__20250102T193314Z__20250102T193414Z.mseed,HE,FIB6,0,0,0,0,2025-01-02 19:33:18.800000,0.267,,,2025-01-02 19:33:14.000000,2025-01-02 19:34:14.000000,eqcct_noise_th0_1/20250102T193314Z_20250102T193414Z/FIB6_outputs/X_prediction_results.csv
HEL1/HE.HEL1..HHN__20250102T194922Z__20250102T195022Z.mseed,HE,HEL1,0,0,0,0,2025-01-02 19:49:26.744000,0.386,,,2025-01-02 19:49:22.000000,2025-01-02 19:50:22.000000,eqcct_noise_th0_1/20250102T194922Z_20250102T195022Z/HEL1_outputs/X_prediction_results.csv
KORF/HE.KORF..CHE__20250102T203630Z__20250102T203730Z.mseed,HE,KORF,0,0,0,0,2025-01-02 20:36:34.708000,0.131,,,2025-01-02 20:36:30.000000,2025-01-02 20:37:30.000000,eqcct_noise_th0_1/20250102T203630Z_20250102T203730Z/KORF_outputs/X_prediction_results.csv
NIF/HE.NIF..HHE__20250102T203931Z__20250102T204031Z.mseed,HE,NIF,0,0,0,0,2025-01-02 20:39:35.372000,0.174,,,2025-01-02 20:39:31.000000,2025-01-02 20:40:31.000000,eqcct_noise_th0_1/20250102T203931Z_20250102T204031Z/NIF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHN__20250102T220946Z__20250102T221046Z.mseed,HE,KEV,0,0,0,0,2025-01-02 22:10:55.090000,0.112,,,2025-01-02 22:09:46.000000,2025-01-02 22:10:46.000000,eqcct_noise_th0_1/20250102T220946Z_20250102T221046Z/KEV_outputs/X_prediction_results.csv
KORF/HE.KORF..CHE__20250102T231851Z__20250102T231951Z.mseed,HE,KORF,0,0,0,0,2025-01-02 23:18:55.278000,0.198,,,2025-01-02 23:18:51.000000,2025-01-02 23:19:51.000000,eqcct_noise_th0_1/20250102T231851Z_20250102T231951Z/KORF_outputs/X_prediction_results.csv
KPF/HE.KPF..HHE__20250102T233052Z__20250102T233152Z.mseed,HE,KPF,0,0,0,0,2025-01-02 23:32:02.892000,0.14,,,2025-01-02 23:30:52.000000,2025-01-02 23:31:52.000000,eqcct_noise_th0_1/20250102T233052Z_20250102T233152Z/KPF_outputs/X_prediction_results.csv
HEF/HE.HEF..HHE__20250103T011017Z__20250103T011117Z.mseed,HE,HEF,0,0,0,0,2025-01-03 01:10:21.580000,0.158,,,2025-01-03 01:10:17.000000,2025-01-03 01:11:17.000000,eqcct_noise_th0_1/20250103T011017Z_20250103T011117Z/HEF_outputs/X_prediction_results.csv
KORF/HE.KORF..CHZ__20250103T022852Z__20250103T022952Z.mseed,HE,KORF,0,0,0,0,2025-01-03 02:30:01.186000,0.119,,,2025-01-03 02:28:52.000000,2025-01-03 02:29:52.000000,eqcct_noise_th0_1/20250103T022852Z_20250103T022952Z/KORF_outputs/X_prediction_results.csv
FIC5/HE.FIC5..HHN__20250103T033258Z__20250103T033358Z.mseed,HE,FIC5,0,0,0,0,2025-01-03 03:33:02.130000,0.446,,,2025-01-03 03:32:58.000000,2025-01-03 03:33:58.000000,eqcct_noise_th0_1/20250103T033258Z_20250103T033358Z/FIC5_outputs/X_prediction_results.csv
