file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
LOVF,HE,LOVF,0,0.0,0.0,0.0,2025-01-02 09:17:15.776,0.954244,2025-01-02 09:17:18.976,0.749854,2025-01-02 09:17:10.000,2025-01-02 09:18:10.000,eqt_explosions_th0_1/20250102T091710Z_20250102T091810Z/LOVF_outputs/X_prediction_results.csv
VJF,HE,VJF,0,0.0,0.0,0.0,2025-01-02 09:17:18.734,0.947514,2025-01-02 09:17:24.314,0.60055,2025-01-02 09:17:13.000,2025-01-02 09:18:13.000,eqt_explosions_th0_1/20250102T091713Z_20250102T091813Z/VJF_outputs/X_prediction_results.csv
KY17,HE,KY17,0,0.0,0.0,0.0,2025-01-02 09:17:19.446,0.949792,2025-01-02 09:17:25.386,0.756361,2025-01-02 09:17:14.000,2025-01-02 09:18:14.000,eqt_explosions_th0_1/20250102T091714Z_20250102T091814Z/KY17_outputs/X_prediction_results.csv
KY02,HE,KY02,0,0.0,0.0,0.0,2025-01-02 09:17:19.488,0.951243,2025-01-02 09:17:25.428,0.765456,2025-01-02 09:17:14.000,2025-01-02 09:18:14.000,eqt_explosions_th0_1/20250102T091714Z_20250102T091814Z/KY02_outputs/X_prediction_results.csv
PVF,HE,PVF,0,0.0,0.0,0.0,2025-01-02 09:17:19.294,0.945971,2025-01-02 09:17:25.254,0.60909,2025-01-02 09:17:14.000,2025-01-02 09:18:14.000,eqt_explosions_th0_1/20250102T091714Z_20250102T091814Z/PVF_outputs/X_prediction_results.csv
FIA0,HE,FIA0,0,0.0,0.0,0.0,2025-01-02 09:17:28.960,0.936998,2025-01-02 09:17:42.440,0.596908,2025-01-02 09:17:23.000,2025-01-02 09:18:23.000,eqt_explosions_th0_1/20250102T091723Z_20250102T091823Z/FIA0_outputs/X_prediction_results.csv
FIA1,HE,FIA1,0,0.0,0.0,0.0,2025-01-02 09:17:28.960,0.941422,2025-01-02 09:17:42.450,0.56639,2025-01-02 09:17:23.000,2025-01-02 09:18:23.000,eqt_explosions_th0_1/20250102T091723Z_20250102T091823Z/FIA1_outputs/X_prediction_results.csv
NUR,HE,NUR,0,0.0,0.0,0.0,2025-01-02 09:17:29.886,0.78904,2025-01-02 09:17:49.756,0.408633,2025-01-02 09:17:24.000,2025-01-02 09:18:24.000,eqt_explosions_th0_1/20250102T091724Z_20250102T091824Z/NUR_outputs/X_prediction_results.csv
HEL5,HE,HEL5,0,0.0,0.0,0.0,,,2025-01-02 09:17:31.382,0.142142,2025-01-02 09:17:25.000,2025-01-02 09:18:25.000,eqt_explosions_th0_1/20250102T091725Z_20250102T091825Z/HEL5_outputs/X_prediction_results.csv
MEF,HE,MEF,0,0.0,0.0,0.0,2025-01-02 09:17:33.130,0.898214,2025-01-02 09:17:54.510,0.313093,2025-01-02 09:17:28.000,2025-01-02 09:18:28.000,eqt_explosions_th0_1/20250102T091728Z_20250102T091828Z/MEF_outputs/X_prediction_results.csv
