file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
FIA1,HE,FIA1,0,0.0,0.0,0.0,2025-01-02 09:19:36.400,0.267364,2025-01-02 09:19:39.020,0.416095,2025-01-02 09:19:18.000,2025-01-02 09:20:18.000,eqt_noise_th0_1/20250102T091918Z_20250102T092018Z/FIA1_outputs/X_prediction_results.csv
FIA1,HE,FIA1,0,0.0,0.0,0.0,2025-01-02 09:19:37.030,0.145056,,,2025-01-02 09:19:18.000,2025-01-02 09:20:18.000,eqt_noise_th0_1/20250102T091918Z_20250102T092018Z/FIA1_outputs/X_prediction_results.csv
FIA1,HE,FIA1,0,0.0,0.0,0.0,2025-01-02 09:19:37.620,0.138134,,,2025-01-02 09:19:18.000,2025-01-02 09:20:18.000,eqt_noise_th0_1/20250102T091918Z_20250102T092018Z/FIA1_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,2025-01-02 09:34:46.972,0.205259,2025-01-02 09:34:51.792,0.288004,2025-01-02 09:34:11.000,2025-01-02 09:35:11.000,eqt_noise_th0_1/20250102T093411Z_20250102T093511Z/KORF_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,2025-01-02 09:34:49.682,0.113461,,,2025-01-02 09:34:11.000,2025-01-02 09:35:11.000,eqt_noise_th0_1/20250102T093411Z_20250102T093511Z/KORF_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,2025-01-02 09:34:50.362,0.107491,,,2025-01-02 09:34:11.000,2025-01-02 09:35:11.000,eqt_noise_th0_1/20250102T093411Z_20250102T093511Z/KORF_outputs/X_prediction_results.csv
FIB5,HE,FIB5,0,0.0,0.0,0.0,2025-01-02 09:56:39.350,0.342865,,,2025-01-02 09:56:29.000,2025-01-02 09:57:29.000,eqt_noise_th0_1/20250102T095629Z_20250102T095729Z/FIB5_outputs/X_prediction_results.csv
KU6,HE,KU6,0,0.0,0.0,0.0,,,2025-01-02 16:39:06.680,0.212369,2025-01-02 16:38:14.000,2025-01-02 16:39:14.000,eqt_noise_th0_1/20250102T163814Z_20250102T163914Z/KU6_outputs/X_prediction_results.csv
FIC4,HE,FIC4,0,0.0,0.0,0.0,2025-01-02 19:50:14.940,0.759751,2025-01-02 19:50:17.920,0.363924,2025-01-02 19:49:49.000,2025-01-02 19:50:49.000,eqt_noise_th0_1/20250102T194949Z_20250102T195049Z/FIC4_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,,,2025-01-03 01:10:23.530,0.590036,2025-01-03 01:10:17.000,2025-01-03 01:11:17.000,eqt_noise_th0_1/20250103T011017Z_20250103T011117Z/HEF_outputs/X_prediction_results.csv
KMNF,FN,KMNF,0,0.0,0.0,0.0,2025-01-03 01:56:57.970,0.393693,2025-01-03 01:56:58.490,0.417816,2025-01-03 01:56:23.000,2025-01-03 01:57:23.000,eqt_noise_th0_1/20250103T015623Z_20250103T015723Z/KMNF_outputs/X_prediction_results.csv
FIC5,HE,FIC5,0,0.0,0.0,0.0,,,2025-01-03 03:33:05.160,0.215709,2025-01-03 03:32:58.000,2025-01-03 03:33:58.000,eqt_noise_th0_1/20250103T033258Z_20250103T033358Z/FIC5_outputs/X_prediction_results.csv
KAF,HE,KAF,0,0.0,0.0,0.0,,,2025-01-03 06:47:56.140,0.387685,2025-01-03 06:47:51.000,2025-01-03 06:48:51.000,eqt_noise_th0_1/20250103T064751Z_20250103T064851Z/KAF_outputs/X_prediction_results.csv
FIA1,HE,FIA1,0,0.0,0.0,0.0,,,2025-01-03 09:41:05.780,0.514095,2025-01-03 09:40:48.000,2025-01-03 09:41:48.000,eqt_noise_th0_1/20250103T094048Z_20250103T094148Z/FIA1_outputs/X_prediction_results.csv
KU6,HE,KU6,0,0.0,0.0,0.0,2025-01-03 10:21:39.330,0.107937,2025-01-03 10:21:42.780,0.414058,2025-01-03 10:21:34.000,2025-01-03 10:22:34.000,eqt_noise_th0_1/20250103T102134Z_20250103T102234Z/KU6_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,2025-01-03 13:17:04.080,0.32121,,,2025-01-03 13:16:44.000,2025-01-03 13:17:44.000,eqt_noise_th0_1/20250103T131644Z_20250103T131744Z/HEF_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-03 14:36:39.970,0.500611,2025-01-03 14:36:48.560,0.671919,2025-01-03 14:36:02.000,2025-01-03 14:37:02.000,eqt_noise_th0_1/20250103T143602Z_20250103T143702Z/KIF_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-03 14:36:40.730,0.190471,,,2025-01-03 14:36:02.000,2025-01-03 14:37:02.000,eqt_noise_th0_1/20250103T143602Z_20250103T143702Z/KIF_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,,,2025-01-03 16:11:57.570,0.300922,2025-01-03 16:11:41.000,2025-01-03 16:12:41.000,eqt_noise_th0_1/20250103T161141Z_20250103T161241Z/HEF_outputs/X_prediction_results.csv
KEV,HE,KEV,0,0.0,0.0,0.0,,,2025-01-03 18:09:35.440,0.384435,2025-01-03 18:09:22.000,2025-01-03 18:10:22.000,eqt_noise_th0_1/20250103T180922Z_20250103T181022Z/KEV_outputs/X_prediction_results.csv
FIC5,HE,FIC5,0,0.0,0.0,0.0,2025-01-03 18:20:03.710,0.319036,2025-01-03 18:20:09.000,0.681871,2025-01-03 18:19:22.000,2025-01-03 18:20:22.000,eqt_noise_th0_1/20250103T181922Z_20250103T182022Z/FIC5_outputs/X_prediction_results.csv
FIC5,HE,FIC5,0,0.0,0.0,0.0,2025-01-03 18:20:04.420,0.184754,,,2025-01-03 18:19:22.000,2025-01-03 18:20:22.000,eqt_noise_th0_1/20250103T181922Z_20250103T182022Z/FIC5_outputs/X_prediction_results.csv
FIC1,HE,FIC1,0,0.0,0.0,0.0,,,2025-01-03 23:59:14.620,0.262805,2025-01-03 23:59:02.000,2025-01-04 00:00:02.000,eqt_noise_th0_1/20250103T235902Z_20250104T000002Z/FIC1_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-04 09:04:00.410,0.112372,2025-01-04 09:04:00.800,0.331863,2025-01-04 09:03:21.000,2025-01-04 09:04:21.000,eqt_noise_th0_1/20250104T090321Z_20250104T090421Z/KIF_outputs/X_prediction_results.csv
KMNF,FN,KMNF,0,0.0,0.0,0.0,,,2025-01-04 11:54:26.790,0.541536,2025-01-04 11:54:08.000,2025-01-04 11:55:08.000,eqt_noise_th0_1/20250104T115408Z_20250104T115508Z/KMNF_outputs/X_prediction_results.csv
KU6,HE,KU6,0,0.0,0.0,0.0,2025-01-04 14:03:34.150,0.743853,2025-01-04 14:03:34.310,0.739076,2025-01-04 14:03:13.000,2025-01-04 14:04:13.000,eqt_noise_th0_1/20250104T140313Z_20250104T140413Z/KU6_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-05 02:36:12.626,0.139687,2025-01-05 02:36:18.796,0.278453,2025-01-05 02:36:07.000,2025-01-05 02:37:07.000,eqt_noise_th0_1/20250105T023607Z_20250105T023707Z/OBF8_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-05 02:36:14.626,0.129764,,,2025-01-05 02:36:07.000,2025-01-05 02:37:07.000,eqt_noise_th0_1/20250105T023607Z_20250105T023707Z/OBF8_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-05 02:36:15.616,0.205281,,,2025-01-05 02:36:07.000,2025-01-05 02:37:07.000,eqt_noise_th0_1/20250105T023607Z_20250105T023707Z/OBF8_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-05 02:36:16.656,0.145238,,,2025-01-05 02:36:07.000,2025-01-05 02:37:07.000,eqt_noise_th0_1/20250105T023607Z_20250105T023707Z/OBF8_outputs/X_prediction_results.csv
FIC3,HE,FIC3,0,0.0,0.0,0.0,2025-01-05 03:39:18.560,0.320016,2025-01-05 03:39:18.930,0.418478,2025-01-05 03:38:49.000,2025-01-05 03:39:49.000,eqt_noise_th0_1/20250105T033849Z_20250105T033949Z/FIC3_outputs/X_prediction_results.csv
OBF3,HE,OBF3,0,0.0,0.0,0.0,,,2025-01-05 06:14:24.036,0.370491,2025-01-05 06:13:59.000,2025-01-05 06:14:59.000,eqt_noise_th0_1/20250105T061359Z_20250105T061459Z/OBF3_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-05 06:53:37.980,0.160156,2025-01-05 06:53:42.460,0.443459,2025-01-05 06:53:06.000,2025-01-05 06:54:06.000,eqt_noise_th0_1/20250105T065306Z_20250105T065406Z/KIF_outputs/X_prediction_results.csv
OBF3,HE,OBF3,0,0.0,0.0,0.0,,,2025-01-05 07:09:38.180,0.11987,2025-01-05 07:09:29.000,2025-01-05 07:10:29.000,eqt_noise_th0_1/20250105T070929Z_20250105T071029Z/OBF3_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-05 09:06:25.730,0.212131,2025-01-05 09:06:28.000,0.152411,2025-01-05 09:06:11.000,2025-01-05 09:07:11.000,eqt_noise_th0_1/20250105T090611Z_20250105T090711Z/KIF_outputs/X_prediction_results.csv
KU2,HE,KU2,0,0.0,0.0,0.0,2025-01-05 18:44:08.260,0.333037,2025-01-05 18:44:11.150,0.724892,2025-01-05 18:44:03.000,2025-01-05 18:45:03.000,eqt_noise_th0_1/20250105T184403Z_20250105T184503Z/KU2_outputs/X_prediction_results.csv
KU2,HE,KU2,0,0.0,0.0,0.0,2025-01-05 18:44:09.270,0.291123,,,2025-01-05 18:44:03.000,2025-01-05 18:45:03.000,eqt_noise_th0_1/20250105T184403Z_20250105T184503Z/KU2_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,,,2025-01-05 22:50:36.930,0.265129,2025-01-05 22:50:27.000,2025-01-05 22:51:27.000,eqt_noise_th0_1/20250105T225027Z_20250105T225127Z/HEF_outputs/X_prediction_results.csv
KEF,HE,KEF,0,0.0,0.0,0.0,2025-01-06 07:52:02.020,0.135501,,,2025-01-06 07:51:21.000,2025-01-06 07:52:21.000,eqt_noise_th0_1/20250106T075121Z_20250106T075221Z/KEF_outputs/X_prediction_results.csv
KU6,HE,KU6,0,0.0,0.0,0.0,2025-01-06 08:06:01.690,0.139135,,,2025-01-06 08:05:39.000,2025-01-06 08:06:39.000,eqt_noise_th0_1/20250106T080539Z_20250106T080639Z/KU6_outputs/X_prediction_results.csv
TRE03,HE,TRE03,0,0.0,0.0,0.0,,,2025-01-06 08:54:41.154,0.406353,2025-01-06 08:54:31.000,2025-01-06 08:55:31.000,eqt_noise_th0_1/20250106T085431Z_20250106T085531Z/TRE03_outputs/X_prediction_results.csv
KMNF,FN,KMNF,0,0.0,0.0,0.0,2025-01-06 09:30:45.280,0.180307,2025-01-06 09:30:47.760,0.727126,2025-01-06 09:30:40.000,2025-01-06 09:31:40.000,eqt_noise_th0_1/20250106T093040Z_20250106T093140Z/KMNF_outputs/X_prediction_results.csv
KU2,HE,KU2,0,0.0,0.0,0.0,,,2025-01-06 11:25:50.218,0.278958,2025-01-06 11:25:44.000,2025-01-06 11:26:44.000,eqt_noise_th0_1/20250106T112544Z_20250106T112644Z/KU2_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,,,2025-01-07 00:54:05.196,0.229091,2025-01-07 00:54:00.000,2025-01-07 00:55:00.000,eqt_noise_th0_1/20250107T005400Z_20250107T005500Z/KORF_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,,,2025-01-07 00:54:17.866,0.126468,2025-01-07 00:54:00.000,2025-01-07 00:55:00.000,eqt_noise_th0_1/20250107T005400Z_20250107T005500Z/KORF_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,,,2025-01-07 01:28:16.340,0.216874,2025-01-07 01:28:10.000,2025-01-07 01:29:10.000,eqt_noise_th0_1/20250107T012810Z_20250107T012910Z/HEF_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,,,2025-01-07 01:28:46.780,0.291218,2025-01-07 01:28:10.000,2025-01-07 01:29:10.000,eqt_noise_th0_1/20250107T012810Z_20250107T012910Z/HEF_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-07 01:36:53.284,0.157103,2025-01-07 01:36:57.674,0.128811,2025-01-07 01:36:48.000,2025-01-07 01:37:48.000,eqt_noise_th0_1/20250107T013648Z_20250107T013748Z/OBF8_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-07 01:36:55.294,0.176771,,,2025-01-07 01:36:48.000,2025-01-07 01:37:48.000,eqt_noise_th0_1/20250107T013648Z_20250107T013748Z/OBF8_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-07 01:36:56.294,0.109975,,,2025-01-07 01:36:48.000,2025-01-07 01:37:48.000,eqt_noise_th0_1/20250107T013648Z_20250107T013748Z/OBF8_outputs/X_prediction_results.csv
LAUT,HE,LAUT,0,0.0,0.0,0.0,,,2025-01-07 02:05:11.568,0.111632,2025-01-07 02:04:31.000,2025-01-07 02:05:31.000,eqt_noise_th0_1/20250107T020431Z_20250107T020531Z/LAUT_outputs/X_prediction_results.csv
LAUT,HE,LAUT,0,0.0,0.0,0.0,2025-01-07 02:05:11.578,0.470437,2025-01-07 02:05:16.288,0.223209,2025-01-07 02:04:31.000,2025-01-07 02:05:31.000,eqt_noise_th0_1/20250107T020431Z_20250107T020531Z/LAUT_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,2025-01-07 03:00:38.804,0.121109,2025-01-07 03:00:47.554,0.774159,2025-01-07 03:00:32.000,2025-01-07 03:01:32.000,eqt_noise_th0_1/20250107T030032Z_20250107T030132Z/KORF_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,2025-01-07 03:00:43.774,0.164088,,,2025-01-07 03:00:32.000,2025-01-07 03:01:32.000,eqt_noise_th0_1/20250107T030032Z_20250107T030132Z/KORF_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,2025-01-07 03:00:45.764,0.175855,,,2025-01-07 03:00:32.000,2025-01-07 03:01:32.000,eqt_noise_th0_1/20250107T030032Z_20250107T030132Z/KORF_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-07 04:05:20.880,0.21805,2025-01-07 04:05:22.100,0.238539,2025-01-07 04:05:03.000,2025-01-07 04:06:03.000,eqt_noise_th0_1/20250107T040503Z_20250107T040603Z/KIF_outputs/X_prediction_results.csv
OBF0,HE,OBF0,0,0.0,0.0,0.0,2025-01-07 05:42:47.818,0.310638,2025-01-07 05:43:00.338,0.204308,2025-01-07 05:42:42.000,2025-01-07 05:43:42.000,eqt_noise_th0_1/20250107T054242Z_20250107T054342Z/OBF0_outputs/X_prediction_results.csv
OBF0,HE,OBF0,0,0.0,0.0,0.0,2025-01-07 05:42:48.808,0.478679,,,2025-01-07 05:42:42.000,2025-01-07 05:43:42.000,eqt_noise_th0_1/20250107T054242Z_20250107T054342Z/OBF0_outputs/X_prediction_results.csv
KEV,HE,KEV,0,0.0,0.0,0.0,2025-01-07 10:07:46.080,0.104365,2025-01-07 10:07:47.340,0.739112,2025-01-07 10:07:16.000,2025-01-07 10:08:16.000,eqt_noise_th0_1/20250107T100716Z_20250107T100816Z/KEV_outputs/X_prediction_results.csv
KEV,HE,KEV,0,0.0,0.0,0.0,2025-01-07 10:07:47.280,0.398128,,,2025-01-07 10:07:16.000,2025-01-07 10:08:16.000,eqt_noise_th0_1/20250107T100716Z_20250107T100816Z/KEV_outputs/X_prediction_results.csv
FIB1,HE,FIB1,0,0.0,0.0,0.0,2025-01-07 18:40:27.430,0.221919,2025-01-07 18:40:35.450,0.140905,2025-01-07 18:40:14.000,2025-01-07 18:41:14.000,eqt_noise_th0_1/20250107T184014Z_20250107T184114Z/FIB1_outputs/X_prediction_results.csv
TOF,HE,TOF,0,0.0,0.0,0.0,2025-01-07 22:20:00.620,0.28144,2025-01-07 22:20:03.460,0.100359,2025-01-07 22:19:31.000,2025-01-07 22:20:31.000,eqt_noise_th0_1/20250107T221931Z_20250107T222031Z/TOF_outputs/X_prediction_results.csv
FIB3,HE,FIB3,0,0.0,0.0,0.0,2025-01-08 11:00:57.460,0.163416,,,2025-01-08 11:00:46.000,2025-01-08 11:01:46.000,eqt_noise_th0_1/20250108T110046Z_20250108T110146Z/FIB3_outputs/X_prediction_results.csv
FIB3,HE,FIB3,0,0.0,0.0,0.0,2025-01-08 11:00:54.450,0.739323,2025-01-08 11:01:08.070,0.514369,2025-01-08 11:00:46.000,2025-01-08 11:01:46.000,eqt_noise_th0_1/20250108T110046Z_20250108T110146Z/FIB3_outputs/X_prediction_results.csv
