event_id,true_arrival_time,network,station,phase,channel
smi:fi.isuh/event/1491070,2025-01-02 09:17:15.776090,HE,LOVF,P,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:18.857610,HE,LOVF,S,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:18.724970,HE,VJF,P,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:24.114290,HE,VJF,S,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:19.284240,HE,PVF,P,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:24.998360,HE,PVF,S,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:19.487610,HE,KY02,P,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:25.385360,HE,KY02,S,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:19.436770,HE,KY17,P,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:25.232830,HE,KY17,S,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:26.728150,HE,VUOS,P,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:37.534210,HE,VUOS,S,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:28.251870,HE,KUNI,P,BHE
smi:fi.isuh/event/1491070,2025-01-02 09:17:40.047510,HE,KUNI,S,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:28.948040,HE,FIA0,P,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:42.036770,HE,FIA0,S,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:28.948040,HE,FIA1,P,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:42.036770,HE,FIA1,S,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:29.876280,HE,NUR,P,SHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:42.871560,HE,NUR,S,SHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:30.572450,HE,HEL5,P,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:44.263910,HE,HEL5,S,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:33.125100,HE,MEF,P,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:48.208900,HE,MEF,S,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:36.913870,HE,RUF,P,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:54.706540,HE,RUF,S,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:40.086850,HE,KAF,P,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:18:00.972120,HE,KAF,S,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:40.550970,HE,TRE03,P,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:18:02.132420,HE,TRE03,S,CZ
smi:fi.isuh/event/1491070,2025-01-02 09:18:08.862120,HE,TVF,S,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:18:09.558290,HE,KEF,S,?HZ
smi:fi.isuh/event/1491070,2025-01-02 09:17:53.082130,HE,RAF,P,BHZ
smi:fi.isuh/event/1491070,2025-01-02 09:18:26.266510,HE,RAF,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:34.520000,HE,OBF3,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:38.080000,HE,OBF0,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:42.380000,HE,OBF0,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:38.720000,HE,OUF,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:43.340000,HE,OUF,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:45.080000,HE,OBF8,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:57.080000,HE,KJNF,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:15.320000,HE,KJNF,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:51:57.980000,HE,TOF,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:17.200000,HE,TOF,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:01.080000,FN,RANF,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:22.400000,FN,RANF,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:04.680000,HE,KU2,P,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:27.780000,HE,KU2,S,BHZ
smi:fi.isuh/event/1491074,2025-01-02 11:52:06.380000,HE,NIF,P,BHZ
