network,station,eqcct_eq_f1,eqcct_ex_f1,eqt_eq_f1,eqt_ex_f1,eqcct_eq_precision,eqcct_ex_precision,eqt_eq_precision,eqt_ex_precision,eqcct_eq_recall,eqcct_ex_recall,eqt_eq_recall,eqt_ex_recall,eq_windows,ex_windows,eqt_avg_f1
FN,KLF,0.8137254901960785,0.3682539682539682,0.8452088452088451,0.360128617363344,0.912087912087912,0.8656716417910447,0.9502762430939228,0.8888888888888888,0.7345132743362832,0.2338709677419354,0.7610619469026548,0.2258064516129032,106.0,41.0,0.6026687312860946
FN,KMNF,0.7730061349693251,0.2857142857142857,0.8352941176470589,0.4444444444444444,0.875,1.0,0.8987341772151899,0.6666666666666666,0.6923076923076923,0.1666666666666666,0.7802197802197802,0.3333333333333333,45.0,2.0,0.6398692810457516
FN,MSF,0.8985507246376812,,0.9090909090909092,,0.9207920792079208,,0.9782608695652174,,0.8773584905660378,,0.8490566037735849,,56.0,,0.9090909090909092
FN,OLKF,0.8818181818181818,0.3636363636363636,0.8899521531100478,0.2891566265060241,0.8981481481481481,0.9285714285714286,0.9587628865979382,0.8571428571428571,0.8660714285714286,0.2260869565217391,0.8303571428571429,0.1739130434782608,59.0,51.0,0.589554389808036
FN,OUL,0.681992337164751,,0.6899563318777292,,0.7542372881355932,,0.9186046511627908,,0.6223776223776224,,0.5524475524475524,,73.0,,0.6899563318777292
FN,RAJF,0.5815602836879433,0.2935323383084577,0.6614173228346457,0.2821158690176322,0.6507936507936508,0.8194444444444444,0.8571428571428571,0.835820895522388,0.5256410256410257,0.1787878787878788,0.5384615384615384,0.1696969696969697,45.0,47.0,0.47176659592613895
FN,RANF,0.847953216374269,0.3474178403755869,0.8414634146341463,0.2821782178217821,0.8841463414634146,0.8705882352941177,0.92,0.9047619047619048,0.8146067415730337,0.2170087976539589,0.7752808988764045,0.1671554252199413,94.0,56.0,0.5618208162279642
FN,RNF,0.8292682926829268,,0.8169014084507042,,0.8693181818181818,,0.8950617283950617,,0.7927461139896373,,0.7512953367875648,,101.0,,0.8169014084507042
FN,SGF,0.6931407942238267,,0.7626459143968871,,0.75,,0.9074074074074074,,0.6442953020134228,,0.6577181208053692,,75.0,,0.7626459143968871
HE,ALAJF,0.7857142857142858,0.3278688524590163,0.8695652173913043,0.2758620689655173,0.6962025316455697,0.9090909090909092,0.925925925925926,1.0,0.9016393442622952,0.2,0.819672131147541,0.16,41.0,13.0,0.5727136431784108
HE,ECKF,,0.4245810055865922,,0.4357541899441341,,0.926829268292683,,0.951219512195122,,0.2753623188405797,,0.2826086956521739,,27.0,0.4357541899441341
HE,FIA0,0.7723577235772359,0.4076923076923077,0.7183673469387755,0.3545279383429672,0.8962264150943396,0.9298245614035088,0.8380952380952381,0.8141592920353983,0.6785714285714286,0.2610837438423645,0.6285714285714286,0.2266009852216748,62.0,76.0,0.5364476426408713
HE,FIA1,0.782258064516129,0.3362068965517241,0.6866952789699572,0.2794759825327511,0.8981481481481481,1.0,0.8602150537634409,0.8888888888888888,0.6928571428571428,0.2020725388601036,0.5714285714285714,0.1658031088082901,63.0,28.0,0.48308563075135413
HE,HEF,0.8343195266272189,0.3377483443708609,0.8622754491017964,0.2837370242214533,0.8703703703703703,0.7727272727272727,0.9113924050632912,0.7735849056603774,0.8011363636363636,0.2161016949152542,0.8181818181818182,0.173728813559322,92.0,42.0,0.5730062366616249
HE,HEL1,0.6060606060606061,0.4157706093189963,0.6666666666666667,0.3882783882783883,0.625,0.935483870967742,0.8260869565217391,0.9464285714285714,0.5882352941176471,0.2672811059907834,0.5588235294117647,0.2442396313364055,20.0,32.0,0.5274725274725275
HE,HEL5,0.5945945945945946,0.3746397694524495,0.5151515151515151,0.3418803418803418,0.7857142857142857,0.9154929577464788,0.85,0.8,0.4782608695652174,0.2355072463768115,0.3695652173913043,0.217391304347826,19.0,41.0,0.42851592851592846
