TP,FP,FN,num_preds,num_picks,recall,precision,f1_score,TP_p,TP_s,FP_p,FP_s,FN_p,FN_s,num_preds_p,num_preds_s,num_picks_p,num_picks_s,recall_p,recall_s,precision_p,precision_s,f1_score_p,f1_score_s,network,station,num_rows,num_true_picks,num_predictions
93,8,13,101,106,0.8773584905660378,0.9207920792079208,0.8985507246376812,48,45,8,0,0,13,56,45,48,58,1.0,0.7758620689655172,0.8571428571428571,1.0,0.923076923076923,0.8737864077669902,FN,MSF,56,106,101
83,8,12,91,95,0.8736842105263158,0.9120879120879121,0.8924731182795699,41,42,7,1,1,11,48,43,42,53,0.9761904761904762,0.7924528301886793,0.8541666666666666,0.9767441860465116,0.9111111111111111,0.875,HE,KU6,49,95,91
97,11,15,108,112,0.8660714285714286,0.8981481481481481,0.8818181818181818,47,50,11,0,2,13,58,50,49,63,0.9591836734693877,0.7936507936507936,0.8103448275862069,1.0,0.8785046728971961,0.8849557522123894,FN,OLKF,59,112,108
52,2,12,54,64,0.8125,0.9629629629629629,0.8813559322033898,27,25,3,-1,1,11,30,24,28,36,0.9642857142857143,0.6944444444444444,0.9,1.0416666666666667,0.9310344827586207,0.8333333333333334,HE,KEV,30,64,54
94,14,17,108,111,0.8468468468468469,0.8703703703703703,0.8584474885844748,48,46,11,3,1,16,59,49,49,62,0.9795918367346939,0.7419354838709677,0.8135593220338984,0.9387755102040817,0.888888888888889,0.828828828828829,HE,VAF,59,111,108
90,3,28,93,118,0.7627118644067796,0.967741935483871,0.8530805687203792,45,45,4,-1,8,20,49,44,53,65,0.8490566037735849,0.6923076923076923,0.9183673469387755,1.0227272727272727,0.8823529411764707,0.8256880733944955,HE,VJF,49,118,93
145,19,33,164,178,0.8146067415730337,0.8841463414634146,0.847953216374269,71,74,18,1,4,29,89,75,75,103,0.9466666666666667,0.7184466019417476,0.797752808988764,0.9866666666666667,0.8658536585365854,0.8314606741573034,FN,RANF,94,178,164
90,20,15,110,105,0.8571428571428571,0.8181818181818182,0.8372093023255814,41,49,18,2,0,15,59,51,41,64,1.0,0.765625,0.6949152542372882,0.9607843137254902,0.8200000000000001,0.8521739130434782,HE,KIF,59,105,110
141,21,35,162,176,0.8011363636363636,0.8703703703703703,0.8343195266272189,71,70,19,2,4,31,90,72,75,101,0.9466666666666667,0.693069306930693,0.7888888888888889,0.9722222222222222,0.8606060606060606,0.8092485549132948,HE,HEF,92,176,162
153,23,40,176,193,0.7927461139896373,0.8693181818181818,0.8292682926829268,77,76,22,1,4,36,99,77,81,112,0.9506172839506173,0.6785714285714286,0.7777777777777778,0.987012987012987,0.8555555555555555,0.8042328042328042,FN,RNF,101,193,176
166,16,60,182,226,0.7345132743362832,0.9120879120879121,0.8137254901960785,87,79,16,0,12,48,103,79,99,127,0.8787878787878788,0.6220472440944882,0.8446601941747572,1.0,0.8613861386138614,0.7669902912621359,FN,KLF,106,226,182
92,19,25,111,117,0.7863247863247863,0.8288288288288288,0.8070175438596492,45,47,18,1,1,24,63,48,46,71,0.9782608695652174,0.6619718309859155,0.7142857142857143,0.9791666666666666,0.8256880733944955,0.7899159663865546,HE,OBF0,64,117,111
56,17,12,73,68,0.8235294117647058,0.7671232876712328,0.7943262411347518,23,33,17,0,2,10,40,33,25,43,0.92,0.7674418604651163,0.575,1.0,0.7076923076923077,0.868421052631579,HE,RUF,40,68,73
55,24,6,79,61,0.9016393442622951,0.6962025316455697,0.7857142857142858,18,37,23,1,0,6,41,38,18,43,1.0,0.8604651162790697,0.43902439024390244,0.9736842105263158,0.6101694915254238,0.9135802469135803,HE,ALAJF,41,61,79
55,7,23,62,78,0.7051282051282052,0.8870967741935484,0.7857142857142857,30,25,7,0,3,20,37,25,33,45,0.9090909090909091,0.5555555555555556,0.8108108108108109,1.0,0.8571428571428571,0.7142857142857143,HE,NUR,37,78,62
97,11,43,108,140,0.6928571428571428,0.8981481481481481,0.782258064516129,54,43,9,2,11,32,63,45,65,75,0.8307692307692308,0.5733333333333334,0.8571428571428571,0.9555555555555556,0.84375,0.7166666666666667,HE,FIA1,63,140,108
77,19,24,96,101,0.7623762376237624,0.8020833333333334,0.7817258883248732,35,42,19,0,3,21,54,42,38,63,0.9210526315789473,0.6666666666666666,0.6481481481481481,1.0,0.7608695652173912,0.8,HE,KEF,57,101,96
63,9,28,72,91,0.6923076923076923,0.875,0.7730061349693251,34,29,8,1,4,24,42,30,38,53,0.8947368421052632,0.5471698113207547,0.8095238095238095,0.9666666666666667,0.8500000000000001,0.6987951807228916,FN,KMNF,45,91,72
95,11,45,106,140,0.6785714285714286,0.8962264150943396,0.7723577235772359,53,42,9,2,12,33,62,44,65,75,0.8153846153846154,0.56,0.8548387096774194,0.9545454545454546,0.8346456692913387,0.7058823529411766,HE,FIA0,62,140,106
22,6,9,28,31,0.7096774193548387,0.7857142857142857,0.7457627118644068,11,11,6,0,0,9,17,11,11,20,1.0,0.55,0.6470588235294118,1.0,0.7857142857142858,0.7096774193548387,HE,VUOS,18,31,28
41,9,19,50,60,0.6833333333333333,0.82,0.7454545454545455,22,19,8,1,3,16,30,20,25,35,0.88,0.5428571428571428,0.7333333333333333,0.95,0.8,0.6909090909090908,UP,AAL,31,60,50
91,25,38,116,129,0.7054263565891473,0.7844827586206896,0.7428571428571429,46,45,24,1,2,36,70,46,48,81,0.9583333333333334,0.5555555555555556,0.6571428571428571,0.9782608695652174,0.7796610169491525,0.7086614173228347,HE,OBF3,71,129,116
61,12,31,73,92,0.6630434782608695,0.8356164383561644,0.7393939393939394,37,24,12,0,0,31,49,24,37,55,1.0,0.43636363636363634,0.7551020408163265,1.0,0.8604651162790697,0.6075949367088608,HE,RAF,49,92,73
109,28,50,137,159,0.6855345911949685,0.7956204379562044,0.7364864864864865,56,53,26,2,3,47,82,55,59,100,0.9491525423728814,0.53,0.6829268292682927,0.9636363636363636,0.7943262411347518,0.6838709677419355,HE,TOF,82,159,137
73,21,32,94,105,0.6952380952380952,0.776595744680851,0.7336683417085427,40,33,21,0,0,32,61,33,40,65,1.0,0.5076923076923077,0.6557377049180327,1.0,0.7920792079207921,0.673469387755102,HE,KPF,61,105,94
57,12,31,69,88,0.6477272727272727,0.8260869565217391,0.7261146496815287,33,24,12,0,2,29,45,24,35,53,0.9428571428571428,0.4528301886792453,0.7333333333333333,1.0,0.8250000000000001,0.6233766233766235,HE,MEF,46,88,69
59,16,30,75,89,0.6629213483146067,0.7866666666666666,0.7195121951219511,29,30,15,1,3,27,44,31,32,57,0.90625,0.5263157894736842,0.6590909090909091,0.967741935483871,0.763157894736842,0.6818181818181819,HE,KAF,46,89,75
43,5,30,48,73,0.589041095890411,0.8958333333333334,0.7107438016528926,23,20,5,0,6,24,28,20,29,44,0.7931034482758621,0.45454545454545453,0.8214285714285714,1.0,0.8070175438596492,0.625,HE,OBF8,28,73,48
96,32,53,128,149,0.6442953020134228,0.75,0.6931407942238267,47,49,28,4,5,48,75,53,52,97,0.9038461538461539,0.5051546391752577,0.6266666666666667,0.9245283018867925,0.7401574803149606,0.6533333333333333,FN,SGF,75,149,128
89,29,54,118,143,0.6223776223776224,0.7542372881355932,0.681992337164751,45,44,27,2,1,53,72,46,46,97,0.9782608695652174,0.4536082474226804,0.625,0.9565217391304348,0.7627118644067797,0.6153846153846154,FN,OUL,73,143,118
46,17,26,63,72,0.6388888888888888,0.7301587301587301,0.6814814814814814,25,21,17,0,1,25,42,21,26,46,0.9615384615384616,0.45652173913043476,0.5952380952380952,1.0,0.7352941176470588,0.626865671641791,HE,SUF,43,72,63
29,12,16,41,45,0.6444444444444445,0.7073170731707317,0.6744186046511628,13,16,11,1,1,15,24,17,14,31,0.9285714285714286,0.5161290322580645,0.5416666666666666,0.9411764705882353,0.6842105263157894,0.6666666666666666,HE,KUNI,24,45,41
42,16,27,58,69,0.6086956521739131,0.7241379310344828,0.6614173228346457,20,22,16,0,1,26,36,22,21,48,0.9523809523809523,0.4583333333333333,0.5555555555555556,1.0,0.7017543859649122,0.6285714285714286,HE,VRF,37,69,58
37,13,27,50,64,0.578125,0.74,0.6491228070175439,20,17,13,0,1,26,33,17,21,43,0.9523809523809523,0.3953488372093023,0.6060606060606061,1.0,0.7407407407407407,0.5666666666666667,HE,OUF,33,64,50
23,9,18,32,41,0.5609756097560976,0.71875,0.6301369863013699,10,13,8,1,1,17,18,14,11,30,0.9090909090909091,0.43333333333333335,0.5555555555555556,0.9285714285714286,0.6896551724137931,0.5909090909090909,HE,RMF,18,41,32
24,14,15,38,39,0.6153846153846154,0.631578947368421,0.6233766233766234,10,14,14,0,0,15,24,14,10,29,1.0,0.4827586206896552,0.4166666666666667,1.0,0.5882352941176471,0.6511627906976745,HE,LAUT,24,39,38
20,12,13,32,33,0.6060606060606061,0.625,0.6153846153846154,11,9,11,1,0,13,22,10,11,22,1.0,0.4090909090909091,0.5,0.9,0.6666666666666666,0.5625000000000001,HE,NIF,22,33,32
34,12,31,46,65,0.5230769230769231,0.7391304347826086,0.6126126126126126,18,16,11,1,3,28,29,17,21,44,0.8571428571428571,0.36363636363636365,0.6206896551724138,0.9411764705882353,0.7200000000000001,0.5245901639344263,HE,TVF,29,65,46
20,12,14,32,34,0.5882352941176471,0.625,0.6060606060606061,7,13,12,0,1,13,19,13,8,26,0.875,0.5,0.3684210526315789,1.0,0.5185185185185185,0.6666666666666666,HE,HEL1,20,34,32
