TP,FP,FN,num_preds,num_picks,recall,precision,f1_score,TP_p,TP_s,FP_p,FP_s,FN_p,FN_s,num_preds_p,num_preds_s,num_picks_p,num_picks_s,recall_p,recall_s,precision_p,precision_s,f1_score_p,f1_score_s,network,station,num_rows,num_true_picks,num_predictions
65,4,114,69,179,0.36312849162011174,0.9420289855072463,0.5241935483870969,40,25,1,3,60,54,41,28,100,79,0.4,0.31645569620253167,0.975609756097561,0.8928571428571429,0.5673758865248227,0.4672897196261682,HE,OBF3,42,179,69
119,11,254,130,373,0.3190348525469169,0.9153846153846154,0.4731610337972167,64,55,10,1,111,143,74,56,175,198,0.3657142857142857,0.2777777777777778,0.8648648648648649,0.9821428571428571,0.5140562248995985,0.43307086614173224,HE,KAF,76,373,130
85,5,196,90,281,0.302491103202847,0.9444444444444444,0.4582210242587601,48,37,5,0,86,110,53,37,134,147,0.3582089552238806,0.25170068027210885,0.9056603773584906,1.0,0.5133689839572193,0.40217391304347827,HE,RAF,53,281,90
82,9,191,91,273,0.30036630036630035,0.9010989010989011,0.45054945054945056,48,34,5,4,86,105,53,38,134,139,0.3582089552238806,0.2446043165467626,0.9056603773584906,0.8947368421052632,0.5133689839572193,0.38418079096045205,HE,KY17,54,273,91
46,4,109,50,155,0.2967741935483871,0.92,0.44878048780487806,29,17,3,1,39,70,32,18,68,87,0.4264705882352941,0.19540229885057472,0.90625,0.9444444444444444,0.58,0.32380952380952377,HE,JOF,33,155,50
51,5,122,56,173,0.2947976878612717,0.9107142857142857,0.4454148471615721,35,16,3,2,57,65,38,18,92,81,0.3804347826086957,0.19753086419753085,0.9210526315789473,0.8888888888888888,0.5384615384615384,0.3232323232323232,HE,OBF0,38,173,56
68,6,164,74,232,0.29310344827586204,0.918918918918919,0.4444444444444445,40,28,5,1,67,97,45,29,107,125,0.37383177570093457,0.224,0.8888888888888888,0.9655172413793104,0.5263157894736842,0.36363636363636365,HE,VAF,45,232,74
83,10,198,93,281,0.29537366548042704,0.8924731182795699,0.4438502673796792,53,30,4,6,86,112,57,36,139,142,0.381294964028777,0.2112676056338028,0.9298245614035088,0.8333333333333334,0.5408163265306122,0.33707865168539325,HE,KPF,57,281,93
62,7,156,69,218,0.28440366972477066,0.8985507246376812,0.4320557491289199,39,23,2,5,68,88,41,28,107,111,0.3644859813084112,0.2072072072072072,0.9512195121951219,0.8214285714285714,0.527027027027027,0.33093525179856115,HE,RUF,41,218,69
65,8,164,73,229,0.2838427947598253,0.8904109589041096,0.4304635761589404,42,23,4,4,76,88,46,27,118,111,0.3559322033898305,0.2072072072072072,0.9130434782608695,0.8518518518518519,0.5121951219512195,0.33333333333333337,HE,KORF,46,229,73
