TP,FP,FN,num_preds,num_picks,recall,precision,f1_score,TP_p,TP_s,FP_p,FP_s,FN_p,FN_s,num_preds_p,num_preds_s,num_picks_p,num_picks_s,recall_p,recall_s,precision_p,precision_s,f1_score_p,f1_score_s,network,station,num_rows,num_true_picks,num_predictions
86,2,9,88,95,0.9052631578947369,0.9772727272727273,0.9398907103825138,42,44,1,1,0,9,43,45,42,53,1.0,0.8301886792452831,0.9767441860465116,0.9777777777777777,0.988235294117647,0.8979591836734695,HE,KU6,47,95,88
90,2,16,92,106,0.8490566037735849,0.9782608695652174,0.9090909090909092,44,46,1,1,4,12,45,47,48,58,0.9166666666666666,0.7931034482758621,0.9777777777777777,0.9787234042553191,0.946236559139785,0.8761904761904762,FN,MSF,49,106,92
93,4,19,97,112,0.8303571428571429,0.9587628865979382,0.8899521531100478,43,50,3,1,6,13,46,51,49,63,0.8775510204081632,0.7936507936507936,0.9347826086956522,0.9803921568627451,0.9052631578947369,0.8771929824561403,FN,OLKF,53,112,97
91,9,14,100,105,0.8666666666666667,0.91,0.8878048780487805,39,52,5,4,2,12,44,56,41,64,0.9512195121951219,0.8125,0.8863636363636364,0.9285714285714286,0.9176470588235294,0.8666666666666666,HE,KIF,58,105,100
52,2,12,54,64,0.8125,0.9629629629629629,0.8813559322033898,26,26,1,1,2,10,27,27,28,36,0.9285714285714286,0.7222222222222222,0.9629629629629629,0.9629629629629629,0.9454545454545454,0.8253968253968254,HE,KEV,29,64,54
50,4,11,54,61,0.819672131147541,0.9259259259259259,0.8695652173913043,15,35,2,2,3,8,17,37,18,43,0.8333333333333334,0.813953488372093,0.8823529411764706,0.9459459459459459,0.8571428571428571,0.875,HE,ALAJF,39,61,54
144,14,32,158,176,0.8181818181818182,0.9113924050632911,0.8622754491017964,65,79,13,1,10,22,78,80,75,101,0.8666666666666667,0.7821782178217822,0.8333333333333334,0.9875,0.8496732026143791,0.8729281767955802,HE,HEF,96,176,158
88,1,30,89,118,0.7457627118644068,0.9887640449438202,0.8502415458937198,43,45,2,-1,10,20,45,44,53,65,0.8113207547169812,0.6923076923076923,0.9555555555555556,1.0227272727272727,0.8775510204081634,0.8256880733944955,HE,VJF,47,118,89
172,9,54,181,226,0.7610619469026548,0.9502762430939227,0.8452088452088451,84,88,7,2,15,39,91,90,99,127,0.8484848484848485,0.6929133858267716,0.9230769230769231,0.9777777777777777,0.8842105263157896,0.8110599078341013,FN,KLF,100,226,181
138,12,40,150,178,0.7752808988764045,0.92,0.8414634146341463,63,75,9,3,12,28,72,78,75,103,0.84,0.7281553398058253,0.875,0.9615384615384616,0.8571428571428572,0.8287292817679558,FN,RANF,94,178,150
92,17,19,109,111,0.8288288288288288,0.8440366972477065,0.8363636363636363,42,50,12,5,7,12,54,55,49,62,0.8571428571428571,0.8064516129032258,0.7777777777777778,0.9090909090909091,0.8155339805825242,0.8547008547008547,HE,VAF,67,111,109
71,8,20,79,91,0.7802197802197802,0.8987341772151899,0.8352941176470589,35,36,6,2,3,17,41,38,38,53,0.9210526315789473,0.6792452830188679,0.8536585365853658,0.9473684210526315,0.8860759493670887,0.7912087912087911,FN,KMNF,48,91,79
80,8,25,88,105,0.7619047619047619,0.9090909090909091,0.8290155440414507,37,43,8,0,3,22,45,43,40,65,0.925,0.6615384615384615,0.8222222222222222,1.0,0.8705882352941177,0.7962962962962964,HE,KPF,60,105,88
85,5,32,90,117,0.7264957264957265,0.9444444444444444,0.821256038647343,39,46,3,2,7,25,42,48,46,71,0.8478260869565217,0.647887323943662,0.9285714285714286,0.9583333333333334,0.8863636363636365,0.7731092436974789,HE,OBF0,53,117,90
116,8,43,124,159,0.7295597484276729,0.9354838709677419,0.8197879858657243,47,69,5,3,12,31,52,72,59,100,0.7966101694915254,0.69,0.9038461538461539,0.9583333333333334,0.8468468468468469,0.8023255813953488,HE,TOF,80,159,124
145,17,48,162,193,0.7512953367875648,0.8950617283950617,0.8169014084507042,66,79,14,3,15,33,80,82,81,112,0.8148148148148148,0.7053571428571429,0.825,0.9634146341463414,0.8198757763975155,0.8144329896907218,FN,RNF,97,193,162
53,3,25,56,78,0.6794871794871795,0.9464285714285714,0.791044776119403,25,28,3,0,8,17,28,28,33,45,0.7575757575757576,0.6222222222222222,0.8928571428571429,1.0,0.819672131147541,0.7671232876712328,HE,NUR,29,78,56
70,6,31,76,101,0.693069306930693,0.9210526315789473,0.7909604519774012,28,42,5,1,10,21,33,43,38,63,0.7368421052631579,0.6666666666666666,0.8484848484848485,0.9767441860465116,0.7887323943661972,0.7924528301886793,HE,KEF,50,101,76
60,4,29,64,89,0.6741573033707865,0.9375,0.7843137254901961,26,34,4,0,6,23,30,34,32,57,0.8125,0.5964912280701754,0.8666666666666667,1.0,0.8387096774193549,0.7472527472527472,HE,KAF,37,89,64
86,9,43,95,129,0.6666666666666666,0.9052631578947369,0.7678571428571428,35,51,5,4,13,30,40,55,48,81,0.7291666666666666,0.6296296296296297,0.875,0.9272727272727272,0.7954545454545454,0.7499999999999999,HE,OBF3,58,129,95
98,10,51,108,149,0.6577181208053692,0.9074074074074074,0.7626459143968871,41,57,8,2,11,40,49,59,52,97,0.7884615384615384,0.5876288659793815,0.8367346938775511,0.9661016949152542,0.8118811881188118,0.7307692307692308,FN,SGF,68,149,108
50,15,18,65,68,0.7352941176470589,0.7692307692307693,0.7518796992481205,18,32,13,2,7,11,31,34,25,43,0.72,0.7441860465116279,0.5806451612903226,0.9411764705882353,0.6428571428571428,0.8311688311688312,HE,RUF,41,68,65
24,0,17,24,41,0.5853658536585366,1.0,0.7384615384615384,9,15,0,0,2,15,9,15,11,30,0.8181818181818182,0.5,1.0,1.0,0.9,0.6666666666666666,HE,RMF,17,41,24
37,4,23,41,60,0.6166666666666667,0.9024390243902439,0.7326732673267328,18,19,3,1,7,16,21,20,25,35,0.72,0.5428571428571428,0.8571428571428571,0.95,0.782608695652174,0.6909090909090908,UP,AAL,23,60,41
43,11,22,54,65,0.6615384615384615,0.7962962962962963,0.7226890756302522,16,27,9,2,5,17,25,29,21,44,0.7619047619047619,0.6136363636363636,0.64,0.9310344827586207,0.6956521739130435,0.7397260273972602,HE,TVF,32,65,54
88,17,52,105,140,0.6285714285714286,0.8380952380952381,0.7183673469387755,42,46,11,6,23,29,53,52,65,75,0.6461538461538462,0.6133333333333333,0.7924528301886793,0.8846153846153846,0.711864406779661,0.7244094488188976,HE,FIA0,60,140,105
56,9,36,65,92,0.6086956521739131,0.8615384615384616,0.713375796178344,28,28,5,4,9,27,33,32,37,55,0.7567567567567568,0.509090909090909,0.8484848484848485,0.875,0.8000000000000002,0.6436781609195402,HE,RAF,43,92,65
27,6,18,33,45,0.6,0.8181818181818182,0.6923076923076923,11,16,3,3,3,15,14,19,14,31,0.7857142857142857,0.5161290322580645,0.7857142857142857,0.8421052631578947,0.7857142857142857,0.6399999999999999,HE,KUNI,21,45,33
79,7,64,86,143,0.5524475524475524,0.9186046511627907,0.6899563318777292,35,44,6,1,11,53,41,45,46,97,0.7608695652173914,0.4536082474226804,0.8536585365853658,0.9777777777777777,0.8045977011494252,0.6197183098591549,FN,OUL,51,143,86
40,4,32,44,72,0.5555555555555556,0.9090909090909091,0.6896551724137931,18,22,4,0,8,24,22,22,26,46,0.6923076923076923,0.4782608695652174,0.8181818181818182,1.0,0.7500000000000001,0.6470588235294118,HE,SUF,33,72,44
80,13,60,93,140,0.5714285714285714,0.8602150537634409,0.6866952789699572,41,39,11,2,24,36,52,41,65,75,0.6307692307692307,0.52,0.7884615384615384,0.9512195121951219,0.7008547008547009,0.6724137931034483,HE,FIA1,55,140,93
49,7,39,56,88,0.5568181818181818,0.875,0.6805555555555556,24,25,6,1,11,28,30,26,35,53,0.6857142857142857,0.4716981132075472,0.8,0.9615384615384616,0.7384615384615385,0.6329113924050632,HE,MEF,32,88,56
38,6,31,44,69,0.5507246376811594,0.8636363636363636,0.672566371681416,16,22,4,2,5,26,20,24,21,48,0.7619047619047619,0.4583333333333333,0.8,0.9166666666666666,0.7804878048780488,0.611111111111111,HE,VRF,26,69,44
19,4,15,23,34,0.5588235294117647,0.8260869565217391,0.6666666666666667,6,13,4,0,2,13,10,13,8,26,0.75,0.5,0.6,1.0,0.6666666666666665,0.6666666666666666,HE,HEL1,13,34,23
17,3,14,20,31,0.5483870967741935,0.85,0.6666666666666665,7,10,3,0,4,10,10,10,11,20,0.6363636363636364,0.5,0.7,1.0,0.6666666666666666,0.6666666666666666,HE,VUOS,12,31,20
42,7,36,49,78,0.5384615384615384,0.8571428571428571,0.6614173228346457,19,23,5,2,8,28,24,25,27,51,0.7037037037037037,0.45098039215686275,0.7916666666666666,0.92,0.7450980392156864,0.6052631578947368,FN,RAJF,33,78,49
33,3,31,36,64,0.515625,0.9166666666666666,0.66,15,18,2,1,6,25,17,19,21,43,0.7142857142857143,0.4186046511627907,0.8823529411764706,0.9473684210526315,0.7894736842105262,0.5806451612903226,HE,OUF,20,64,36
20,3,19,23,39,0.5128205128205128,0.8695652173913043,0.6451612903225806,7,13,3,0,3,16,10,13,10,29,0.7,0.4482758620689655,0.7,1.0,0.7,0.6190476190476191,HE,LAUT,15,39,23
16,1,17,17,33,0.48484848484848486,0.9411764705882353,0.64,6,10,0,1,5,12,6,11,11,22,0.5454545454545454,0.45454545454545453,1.0,0.9090909090909091,0.7058823529411764,0.6060606060606061,HE,NIF,11,33,17
40,15,33,55,73,0.547945205479452,0.7272727272727273,0.625,18,22,14,1,11,22,32,23,29,44,0.6206896551724138,0.5,0.5625,0.9565217391304348,0.5901639344262296,0.6567164179104478,HE,OBF8,34,73,55
6,3,8,9,14,0.42857142857142855,0.6666666666666666,0.5217391304347826,1,5,3,0,1,7,4,5,2,12,0.5,0.4166666666666667,0.25,1.0,0.3333333333333333,0.5882352941176471,HE,RSUO,6,14,9
17,3,29,20,46,0.3695652173913043,0.85,0.5151515151515151,7,10,2,1,12,17,9,11,19,27,0.3684210526315789,0.37037037037037035,0.7777777777777778,0.9090909090909091,0.5,0.5263157894736842,HE,HEL5,11,46,20
2,0,11,2,13,0.15384615384615385,1.0,0.2666666666666667,1,1,0,0,4,7,1,1,5,8,0.2,0.125,1.0,1.0,0.33333333333333337,0.2222222222222222,HE,JOF,1,13,2
