TP,FP,FN,num_preds,num_picks,recall,precision,f1_score,TP_p,TP_s,FP_p,FP_s,FN_p,FN_s,num_preds_p,num_preds_s,num_picks_p,num_picks_s,recall_p,recall_s,precision_p,precision_s,f1_score_p,f1_score_s,network,station,num_rows,num_true_picks,num_predictions
118,5,255,123,373,0.3163538873994638,0.959349593495935,0.47580645161290325,57,61,2,3,118,137,59,64,175,198,0.32571428571428573,0.30808080808080807,0.9661016949152542,0.953125,0.48717948717948717,0.46564885496183206,HE,KAF,72,373,123
58,8,121,66,179,0.3240223463687151,0.8787878787878788,0.4734693877551021,32,26,2,6,68,53,34,32,100,79,0.32,0.3291139240506329,0.9411764705882353,0.8125,0.4776119402985075,0.46846846846846846,HE,OBF3,36,179,66
83,6,198,89,281,0.29537366548042704,0.9325842696629213,0.4486486486486486,41,42,3,3,93,105,44,45,134,147,0.30597014925373134,0.2857142857142857,0.9318181818181818,0.9333333333333333,0.4606741573033708,0.43749999999999994,HE,RAF,51,281,89
46,5,109,51,155,0.2967741935483871,0.9019607843137255,0.4466019417475728,23,23,4,1,45,64,27,24,68,87,0.3382352941176471,0.26436781609195403,0.8518518518518519,0.9583333333333334,0.48421052631578954,0.4144144144144144,HE,JOF,29,155,51
51,5,122,56,173,0.2947976878612717,0.9107142857142857,0.4454148471615721,28,23,2,3,64,58,30,26,92,81,0.30434782608695654,0.2839506172839506,0.9333333333333333,0.8846153846153846,0.45901639344262296,0.42990654205607476,HE,OBF0,33,173,56
4,2,8,6,12,0.3333333333333333,0.6666666666666666,0.4444444444444444,2,2,2,0,4,4,4,2,6,6,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4,0.5,FN,KMNF,4,12,6
80,14,193,94,273,0.29304029304029305,0.851063829787234,0.43596730245231613,43,37,7,7,91,102,50,44,134,139,0.3208955223880597,0.26618705035971224,0.86,0.8409090909090909,0.467391304347826,0.40437158469945356,HE,KY17,60,273,94
39,2,99,41,138,0.2826086956521739,0.9512195121951219,0.4357541899441341,20,19,2,0,42,57,22,19,62,76,0.3225806451612903,0.25,0.9090909090909091,1.0,0.4761904761904761,0.4,HE,ECKF,25,138,41
65,3,167,68,232,0.2801724137931034,0.9558823529411765,0.43333333333333335,31,34,1,2,76,91,32,36,107,125,0.2897196261682243,0.272,0.96875,0.9444444444444444,0.44604316546762585,0.422360248447205,HE,VAF,47,232,68
81,13,200,94,281,0.28825622775800713,0.8617021276595744,0.432,42,39,8,5,97,103,50,44,139,142,0.302158273381295,0.2746478873239437,0.84,0.8863636363636364,0.4444444444444445,0.41935483870967744,HE,KPF,59,281,94
62,9,156,71,218,0.28440366972477066,0.8732394366197183,0.4290657439446367,33,29,3,6,74,82,36,35,107,111,0.308411214953271,0.26126126126126126,0.9166666666666666,0.8285714285714286,0.46153846153846145,0.3972602739726027,HE,RUF,40,218,71
62,11,167,73,229,0.27074235807860264,0.8493150684931506,0.4105960264900662,33,29,3,8,85,82,36,37,118,111,0.2796610169491525,0.26126126126126126,0.9166666666666666,0.7837837837837838,0.42857142857142855,0.3918918918918919,HE,KORF,42,229,73
50,0,157,50,207,0.24154589371980675,1.0,0.38910505836575876,25,25,0,0,72,85,25,25,97,110,0.25773195876288657,0.22727272727272727,1.0,1.0,0.40983606557377045,0.37037037037037035,HE,NIF,26,207,50
49,6,148,55,197,0.24873096446700507,0.8909090909090909,0.3888888888888889,27,22,2,4,74,74,29,26,101,96,0.26732673267326734,0.22916666666666666,0.9310344827586207,0.8461538461538461,0.41538461538461535,0.360655737704918,HE,OUF,33,197,55
53,3,164,56,217,0.24423963133640553,0.9464285714285714,0.3882783882783883,26,27,1,2,79,85,27,29,105,112,0.24761904761904763,0.24107142857142858,0.9629629629629629,0.9310344827586207,0.393939393939394,0.3829787234042554,HE,HEL1,30,217,56
96,14,293,110,389,0.2467866323907455,0.8727272727272727,0.38476953907815625,52,44,7,7,130,163,59,51,182,207,0.2857142857142857,0.21256038647342995,0.8813559322033898,0.8627450980392157,0.43153526970954353,0.34108527131782945,HE,KEF,69,389,110
43,16,123,59,166,0.25903614457831325,0.7288135593220338,0.3822222222222222,28,15,6,10,68,55,34,25,96,70,0.2916666666666667,0.21428571428571427,0.8235294117647058,0.6,0.4307692307692308,0.3157894736842105,HE,KU1,43,166,59
74,19,224,93,298,0.2483221476510067,0.7956989247311828,0.37851662404092073,42,32,9,10,113,111,51,42,155,143,0.2709677419354839,0.22377622377622378,0.8235294117647058,0.7619047619047619,0.4077669902912622,0.34594594594594597,HE,TRE03,58,299,93
24,3,76,27,100,0.24,0.8888888888888888,0.3779527559055118,13,11,2,1,34,42,15,12,47,53,0.2765957446808511,0.20754716981132076,0.8666666666666667,0.9166666666666666,0.4193548387096774,0.3384615384615385,HE,KIF,16,100,27
19,3,60,22,79,0.24050632911392406,0.8636363636363636,0.37623762376237624,9,10,3,0,30,30,12,10,39,40,0.23076923076923078,0.25,0.75,1.0,0.3529411764705882,0.4,HE,KY02,13,79,22
56,7,192,63,248,0.22580645161290322,0.8888888888888888,0.360128617363344,31,25,2,5,79,113,33,30,110,138,0.2818181818181818,0.18115942028985507,0.9393939393939394,0.8333333333333334,0.4335664335664336,0.2976190476190476,FN,KLF,37,248,63
43,13,140,56,183,0.23497267759562843,0.7678571428571429,0.3598326359832636,27,16,4,9,79,61,31,25,106,77,0.25471698113207547,0.2077922077922078,0.8709677419354839,0.64,0.39416058394160586,0.3137254901960784,HE,KU2,38,183,56
